1,Finland,7.821
2,Denmark,7.636
3,Iceland,7.557
4,Switzerland,7.512
5,Netherlands,7.415
6,Luxembourg*,7.404
7,Sweden,7.384
8,Norway,7.365
9,Israel,7.364
10,NewZealand,7.2
11,Austria,7.163
12,Australia,7.162
13,Ireland.,7.041
14,Germany.,7.034
15,Canada.,7.025
16,UnitedStates.,6.977
17,UnitedKingdom.,6.943
18,Czechia.,6.92
19,Belgium.,6.805
20,France.,6.687
21,Bahrain.,6.647
22,Slovenia,6.63
23,CostaRica,6.582
24,UnitedArabEmirates,6.576
25,SaudiArabia,6.523
26,China,6.512
27,Singapore,6.48
28,Romania,6.477
29,Spain,6.476
30,Uruguay,6.474
31,Italy,6.467
32,Kosovo,6.455
33,Malta,6.447
34,Lithuania,6.446
35,Slovakia,6.391
36,Estonia,6.341
37,Panama,6.309
38,Brazil,6.293
39,Guatemala*,6.262
40,Kazakhstan,6.234
41,Cyprus,6.221
42,Latvia,6.18
43,Serbia,6.178
44,Chile,6.172
45,Nicaragua,6.165
46,Mexico,6.128
47,Croatia,6.125
48,Poland,6.123
49,Kuwait*,6.106
50,Hungary,6.086
51,Mauritius,6.071
52,Uzbekistan,6.063
53,Japan,6.039
54,Honduras,6.022
55,Portugal,6.016
56,Argentina,5.967
57,Greece,5.948
58,SouthKorea,5.935
59,Philippines,5.904
60,Thailand,5.891
61,Moldova,5.857
62,Jamaica,5.85
63,Kyrgyzstan,5.828
64,Belarus*,5.821
65,Colombia,5.781
66,Mongolia,5.761
67,Malaysia,5.711
68,Bolivia,5.6
69,China,5.585
70,Paraguay,5.578
71,Peru,5.559
72,Montenegro,5.547
73,Ecuador,5.533
74,Vietnam,5.485
75,Turkmenistan*,5.474
76,Russia,5.459
77,Armenia,5.399
78,Tajikistan,5.377
79,Nepal,5.377
80,Bulgaria,5.371
81,Libya*,5.33
82,Indonesia,5.24
83,Albania,5.199
84,Azerbaijan*,5.173
85,Gambia*,5.164
86,Bangladesh,5.155
87,Laos,5.14
88,Algeria,5.122
89,Liberia*,5.122
90,Ukraine,5.084
91,Morocco,5.06
92,Mozambique,5.048
93,Cameroon,5.048
94,Senegal,5.046
95,Niger*,5.003
96,Georgia,4.973
97,Gabon,4.958
98,Iraq,4.941
99,Venezuela,4.925
100,Guinea,4.891
101,Iran,4.888
102,Ghana,4.872
103,Turkey,4.744
104,Cambodia,4.64
105,Benin,4.623
106,Comoros*,4.609
107,Uganda,4.603
108,Nigeria,4.552
109,Kenya,4.543
110,Tunisia,4.516
111,Pakistan,4.516
112,Mali,4.479
113,Namibia,4.459
114,Myanmar,4.394
115,Madagascar*,4.339
116,Egypt,4.288
117,Chad*,4.251
118,Ethiopia,4.241
119,Yemen*,4.197
120,Mauritania*,4.153
121,Jordan,4.152
122,Togo,4.112
123,India,3.777
124,Zambia,3.76
125,Malawi,3.75
126,Tanzania,3.702
127,Lesotho*,3.512
128,Botswana*,3.471
129,Rwanda*,3.268
130,Zimbabwe,2.995
131,Lebanon,2.955
132,Afghanistan,2.404
